date,close,mayer,price_to_wma200,fng,mvrv_z,nupl,sopr,puell
2016-03-21,412.0,1.1547870055630183,,,,,,
2016-03-22,416.66,1.164824025355177,,,,,,
2016-03-23,417.53,1.1643020252937941,,,,,,
2016-03-24,412.95,1.1487809763316903,,,,,,
2016-03-25,416.41,1.1555918172521498,,,,,,
2016-03-26,416.97,1.1543775443294184,,,,,,
2016-03-27,425.3,1.1744063904496709,,,,,,
2016-03-28,423.0,1.1650876928178817,,,,,,
2016-03-29,416.39,1.144116376245826,,,,,,
2016-03-30,412.79,1.1314842291453608,,,,,,
2016-03-31,416.03,1.1374779475745238,,,,,,
2016-04-01,417.68,1.1390824343005408,,,,,,
2016-04-02,419.95,1.1423236841278483,,,,,,
2016-04-03,420.16,1.1399424819577841,,,,,,
2016-04-04,419.47,1.1352040868104885,,,,,,
2016-04-05,422.36,1.1401159470600295,,,,,,
2016-04-06,421.46,1.1347981382159147,,,,,,
2016-04-07,421.99,1.133330038899387,,,,,,
2016-04-08,419.48,1.1236892624697619,,,,,,
2016-04-09,419.46,1.1208107374021352,,,,,,
2016-04-10,423.4,1.1284267734576645,,,,,,
2016-04-11,423.94,1.127032401450462,,,,,,
2016-04-12,427.8,1.1344003184169946,,,,,,
2016-04-13,425.58,1.1256645594731134,,,,,,
2016-04-14,426.32,1.1247548700814731,,,,,,
2016-04-15,430.93,1.1340609344916845,,,,,,
2016-04-16,433.39,1.1375934487384731,,,,,,
2016-04-17,431.0,1.1284489037812724,,,,,,
2016-04-18,430.97,1.125532069646296,,,,,,
2016-04-19,437.06,1.138481716136284,,,,,,
2016-04-20,442.96,1.1508071510807198,,,,,,
2016-04-21,452.25,1.1717099853915165,,,,,,
2016-04-22,448.41,1.1586472913670687,,,,,,
2016-04-23,455.69,1.174286554368702,,,,,,
2016-04-24,464.46,1.1934961321741846,,,,,,
2016-04-25,466.17,1.1944643698352968,,,,,,
2016-04-26,470.59,1.20230486689607,,,,,,
2016-04-27,445.31,1.1348289480642018,,,,,,
2016-04-28,451.68,1.1480975420296147,,,,,,
2016-04-29,458.82,1.1631060981316583,,,,,,
2016-04-30,454.02,1.1479839041541406,,,,,,
2016-05-01,456.98,1.1525000889002321,,,,,,
2016-05-02,446.42,1.1231566332020066,,,,,,
2016-05-03,452.21,1.1350283669243182,,,,,,
2016-05-04,448.68,1.123688929405047,,,,,,
2016-05-05,449.98,1.124340326457978,,,,,,
2016-05-06,462.31,1.1523105782465017,,,,,,
2016-05-07,461.91,1.1485828463027263,,,,,,
2016-05-08,462.79,1.1480017875280109,,,,,,
2016-05-09,464.16,1.148717116159737,,,,,,
2016-05-10,452.78,1.1181457913644857,,,,,,
2016-05-11,454.37,1.119720820185582,,,,,,
2016-05-12,456.48,1.1225482987422484,,,,,,
2016-05-13,457.98,1.1238756458272698,,,,,,
2016-05-14,458.9,1.1238815523378218,,,,,,
2016-05-15,461.47,1.1280018195864403,,,,,,
2016-05-16,455.66,1.1119032283529222,,,,,,
2016-05-17,454.19,1.1066273011843144,,,,,,
2016-05-18,455.56,1.1080658515489474,,,,,,
2016-05-19,438.38,1.064868097535097,,,,,,
2016-05-20,445.65,1.0814710627318738,,,,,,
2016-05-21,446.28,1.0824459086295155,,,,,,
2016-05-22,442.48,1.0728064843597143,,,,,,
2016-05-23,445.67,1.0797755117467713,,,,,,
2016-05-24,446.99,1.0820180790626754,,,,,,
2016-05-25,451.49,1.0920297957798584,,,,,,
2016-05-26,454.97,1.0993681719902146,,,,,,
2016-05-27,471.27,1.13749395071994,,,,,,
2016-05-28,523.25,1.2601266195456777,,,,,,
2016-05-29,525.22,1.2616499095655822,,,,,,
2016-05-30,532.55,1.2762522303858745,,,,,,
2016-05-31,531.34,1.2704103931974442,,,,,,
2016-06-01,534.84,1.2757265498125256,,,,,,
2016-06-02,537.87,1.2796735044632261,,,,,,
2016-06-03,571.25,1.3552467741271588,,,,,,
2016-06-04,576.31,1.3633727501220994,,,,,,
2016-06-05,575.17,1.3568291852384287,,,,,,
2016-06-06,586.77,1.3799558687869558,,,,,,
2016-06-07,579.71,1.3592394861520927,,,,,,
2016-06-08,583.21,1.3633508494731716,,,,,,
2016-06-09,577.46,1.3459173866463863,,,,,,
2016-06-10,580.31,1.3485163322660958,,,,,,
2016-06-11,609.5,1.4116158264946974,,,,,,
2016-06-12,677.86,1.5636219949709251,,,,,,
2016-06-13,706.01,1.6219439941022722,,,,,,
2016-06-14,684.95,1.567677934707055,,,,,,
